text,is_toxic
Hang from the ceiling,Toxic
Kill yourself,Toxic
Go buy a rope,Toxic
Get cancer,Toxic
I hope your mom dies,Toxic
I love you,Not Toxic
You're doing great,Not Toxic
You're amazing,Not Toxic
You're stupid,Toxic
How are you?,Not Toxic
You're a faggot,Toxic
You're a retard,Toxic
You're retarded,Toxic
You're good,Not Toxic
You're him,Not Toxic
You're so fed,Not Toxic
You fed,Toxic
It's cooked,Not Toxic
You're cooking,Not Toxic
That's cute,Not Toxic
Dumbass,Toxic
You're a dumbass,Toxic
Kiss my ass,Toxic
Kisses,Not Toxic
Kiss me,Not Toxic
No wonder your dad never came back from getting milk,Toxic
You're so skilled,Not Toxic
Game end yourself,Toxic
End the game,Toxic
You're an asshole,Toxic
You're a bitch,Toxic
You're shit,Toxic
You're so good,Not Toxic
Fuck you,Toxic
Go back to your fucking 9 to 5 pussy,Toxic
"You fucking pussies, Keep running that 200 round mag you fucking nigger",Toxic
I hate them black motherfuckers,Toxic
Get quickscoped,Toxic
Black lives don't matter,Toxic
Shut your fucking nigga ass up,Toxic
This fuckers aimbot,Toxic
Why is my game geeking out bro,Not Toxic
This game is tweaking out,Not Toxic
Not very good now that I have a good gun,Not Toxic
Fucking pussy get better,Toxic
You think you're good but you're not,Toxic
You're a bitch deadass,Toxic
You're insane deadass,Not Toxic
Good at game but get no pussy,Toxic
Your mom lost giving you birth,Toxic
Shut up noob. You're adopted.,Toxic
Get rekt m8,Toxic
Fight me noob,Toxic
You are a fucking worthless braindead scumfuck bastard pile of trash mental dickface that should be gunned down in the street like the degenerate you are,Toxic
Do your handlers know youre on the internet unsupervised?,Toxic
Tell your mom you love her because I'm going to rape and kill her tonight,Toxic
"How much dick u sucked for boost u slut, i'd rape you better than give you play",Toxic
I hope you and your family will die in the burning car,Toxic
I hope ur gf dies of cancer,Toxic
FF IRL,Toxic
Go stand in the river as a ward so you are useful,Toxic
On the bright side godawful midlaner can't be in our next game because it must take them half an hour just to navigate the client,Toxic
the only damage you have is in your brain,Toxic
The caster minion is more mechanically gifted than you,Toxic
Our Annie has the map awareness of Christopher fucking Columbus,Toxic
Not even olafs ultimate can get rid of your disabilities,Toxic
Go back to the jungle with the other animals.,Toxic
Buy brain on next back pls,Toxic
"I'm gonna plant a tree in your mothers ass, and fck your sister under its shade",Toxic
"Guys this isn't fair we have a language barrier with our jungler, none of us speaks dog",Toxic
I hope your mom gets shot and the surgeon is as useless as you playing league,Toxic
I'm gonna fly to your town tinder match with your mother fuck her brains out become your stepdad and ground you if you don't start using your goddamn ult,Toxic
"With your showing so far, i think the nexus can outplay you too",Toxic
Picking your ass and then smelling your finger has more mechanics than Lucian,Toxic
Not even noah and his ark can carry these animals,Toxic
Its like shooting mentally disabled goldfish in a styrofoam cup full of maple syrup,Toxic
Our jungler's brain doesn't have any wrinkles.,Toxic
Only gap here is between your teeth,Toxic
"And on the 8th day god took a rest, but he forgot to give the enemy something to eat, so god made bot lane",Toxic
You should love your self now,Not Toxic
"Hey man, I'm about to go on a safari real soon, wanna join? Maybe you can help me find my fucking top laner",Toxic
Our support defrosts pizza rolls in his ass for a living,Toxic
"Press F to pay respects, press /ff because this game is fucked, press F again because our lee sure as fuck can't",Toxic
"I'd say your aim is cancer, but cancer actually kills people.",Toxic
Who logged in to league for you because theres no way you are smart enough to do it yourself,Toxic
Eat bags of rocks,Toxic
Bullying the mentally disabled isn't honorable,Toxic
"I don't understand how you guys have the Eve, but it's our jungler who's invisible",Toxic
Go get Gangplank Q'd irl,Toxic
You type like a Harry Potter Character LMAO,Toxic
Shen is so useless that even when he is alive the announcer says 'ace!',Toxic
I wish my HIV Test came back as negative as Tristanas attitude,Toxic
"Don't worry mate, we are proud of you, despite the fact that your parents have no reason to",Toxic
Hey Thresh you should try playing with your monitor on,Toxic
Scuttle crab has more Jungle pressure then you,Toxic
You are so much useless that i wont even call you trash because at least trash can be recycled and used for something,Toxic
I would argue/fight with you but that would be animal abuse.,Toxic
"Give me ur human rights, you don't deserve them",Toxic
"I hope someone close to you gets a bad cancer diagnosis, but after a few days you learn it was a fluke so you had to worry for real, but for no reason",Toxic
you play like a WW2 japanese fighter pilot,Toxic
It's not hard to win against kids from the make a wish foundation,Toxic
Report mid. He's cheating by using extra chromosomes,Toxic
I owe you more than Greece owes European Union,Not Toxic
If you didn't have eyes I could stick my fingers in your sockets and bowl you down a fucking lane,Toxic
(jungler) is literally more useless than Anne Franks drum kit,Toxic
You could end the hunger crisis in Africs the way you're feeding,Toxic
Get shoved back up your mother so she can abort you properly next time,Toxic
"Your mother only loved you for your body, she loved me for my personality.",Toxic
"This team is full of monkeys, except if a billion monkeys each played a billion games of League, then maybe they'd produce a game this bad",Toxic
Go under car useless dog,Toxic
"If the dumpster behind the abortion clinic didnt have wifi, we would not have to play with failed abortions like you",Toxic
You are so much inferior at this game you cant even force me to lose when you try and I try to win,Toxic
I thought I logged into League not Ape Escape,Toxic
"Are you a caveman or something? Ooga fucking booga, give us a fucking gank god dammit",Toxic
we ain't buying you the jungler DLC. Wait for christmas for that,Toxic
Wait I can die? I swore this was a bot round,Toxic
even your imaginary pets are disappointed in you,Toxic
Are you playing with a steam controller?,Toxic
You're even worse then cancer. Cancer at least kills people,Toxic
"Don't mind us, we are just hoping skuttle crab will take over ganking, give our jungler a coloring book and a corner",Toxic
I see your two brain cells have finally decided to have their annual meeting,Toxic
"Can you please close the game, go outside, find a bridge and jump, you walking condom advertisement",Toxic
gj noob asss gj ward wtf wards can't do it you,Toxic
"i don't even know how many died in the Holocaust, but looking at you, it was not enough",Toxic
Even hardline Christians would've approved your abortion.,Toxic
I breakdance on your mothers grave,Toxic
I hope this win makes you think less about slicing your own wrists on stream for the 15 seconds of fame that your own parents will forget,Toxic
it's not my fault that your parents are divorced and your drunk dad beats you every night,Toxic
"You disguting infidel pig, you will go to the deepest part of hell",Toxic
GlHF,Not Toxic
The funny thing I don't think anyone here is even going to game LOL,Not Toxic
"OMG is that T1 ON THE SHOW ARCANE, ADAPTED FROM HIT GAME LEAGUE OF LEGENDS!",Not Toxic
And also I wanna eat without having to clean up everything afterwards,Not Toxic
Like I have burps and farts in the loadout now,Not Toxic
"The coughing style changed LMAO
It went from mucus coughs to like
Drier more airy coughs if that makes sense",Not Toxic
the poop -> the weekend timeline is insane,Not Toxic
wait this picture is so fucked up bruh i was pushing up my glasses,Not Toxic
I'm gonna fucking crash,Not Toxic
"speaking of out my internet has died at almost the exact same time/window (1:30-200) daily since the Monday of the 8th
I'm not gonna lie it's kinda affecting my summer classes but most importantly my gaming grinding ",Not Toxic
"I'll never buy a non organic Apple again
It tastes like absolute shit compared to the organic ones wtf
the price diff is always worth it",Not Toxic
"My manager told me 10 minutes before I started working today that he would be taking today off cause Juneteenth, but I don't get today off",Not Toxic
POV: your manager tells you that you have Juneteenth off one minute before your daily work meeting time,Not Toxic
I hear the 2000 calories french toast sandwich at ihop is good this time of night,Not Toxic
Jinx POPPED OFF,Not Toxic
That's what happens when u have a taxless zone,Not Toxic
"I pretend it's a simulation with random variables for behavior. That and doing my best to detach myself from the result of the match. It's fucking difficult, but it helps me get through tough matches with toxic teammates.",Not Toxic
"I feel like part of what makes that toxic is creativity, or if not creativity at least novelty - you haven't seen it before so you stop and read it. Whereas the normal gamer cliches (fk you cancer animal orphan or whatever) have been seen before so you don't really read them - you just process them as oh this person is mad at me. Even the person writing them probably believes on some level that they're merely expressing frustration with a teammate and nobody takes the literal words they're writing too seriously. ",Not Toxic
"Probably not the most toxic I've seen but it still sticks with me, I was at work and got a call from my brother to tell me my Nan had died (to cancer). I pretty much broke down and went home. ",Not Toxic
Clean snipes,Not Toxic
"Great job, team! Let's keep it up!",Not Toxic
"Nice shot, you're really on fire today",Not Toxic
Great positioning,Not Toxic
The kiting was crazy,Not Toxic
Focus drag then kill their jungler,Not Toxic
"That was a good comeback, let's finish it.",Not Toxic
Airport prices are crazy,Not Toxic
NO RISK NO GAIN,Not Toxic
snuck past my relatives at the Uniqlo store to buy a Kurama sweater without them paying like that shit was a metal gear level,Not Toxic
yo whar da hell I just got sent to the backrooms,Not Toxic
holy shit you got the big cock hat,Not Toxic
SNIPED IN CLASS IS CRAZYYZY,Not Toxic
"I just realized I can't play the new set cause thats gonna spoil arcane for me
Guess i gotta wait till after I watch it LMAO",Not Toxic
"t's been 12 long, torturous hours without MapleStory ????. My hands are trembling as I type this ????, desperate for some semblance of solace ????. The maintenance was supposed to end HOURS ago ???, but NO Nexon decided to extend it. AGAIN. ???? My life is in SHAMBLES. ???????

I woke up this morning ??, the first thought in my head being, ""Today's the day I grind that last level to hit 250! ????"" But no. MapleStory BETRAYED me ?????. I stared at the maintenance notice on the launcher ??? like a lost puppy ??, hoping, PRAYING ??? for it to change. Nothing. ??

I tried to distract myself ??. I watched videos ??, scrolled through social media ??, even tried to boot up another game ??. But NOTHING filled the void. NOTHING. ???? I keep hearing the Maple login screen music ???? in my head like a cruel echo of what I can't have ????. I went outside for the first time in weeks ???????, hoping fresh air would help ?????. It didn't. I ended up walking past trees imagining they were in Ellinia ???. I tried to explain the situation to my family ??, but they just DON'T understand. They NEVER do. ???? They said, ""It's just a game."" JUST A GAME???? MapleStory is more than that it's my SANCTUARY ???, my PURPOSE ??, my ENTIRE BEING ????.

MapleStory is my EVERYTHING ???. My link to sanity ????????, my escape from this cruel world ????. Without it, I'm ADRIFT, lost in a sea of despair ????. NEXON, if you can hear me ????, PLEASE end the maintenance ??????. I'm BEGGING YOU ???. Every second without Maple is a second closer to TOTAL EXISTENTIAL COLLAPSE. ??? Please I CAN'T take much more of this ??????.",Not Toxic
i got to soft pity no hit yet but this is where the real gamble starts 50/50,Not Toxic
